Speed,AT,MAT,DF,MDF,HP,Unused Addition Unlock Level,Total Stat Points,Total Stat Points No Speed,Name
30,252,73,251,78,9542,255,10226,10196,Kongol Lv59
30,254,75,254,80,9750,255,10443,10413,Kongol Lv60
0,0,0,0,0,0,255,0,0,??? Lv0
65,2,3,2,3,24,255,99,34,??? Lv1
65,3,6,3,6,48,255,131,66,??? Lv2
65,5,9,5,9,72,255,165,100,??? Lv3
65,7,12,6,12,96,255,198,133,??? Lv4
65,8,16,8,15,120,255,232,167,??? Lv5
65,10,19,9,19,144,255,266,201,??? Lv6
65,12,22,11,22,168,255,300,235,??? Lv7
65,13,26,12,25,192,255,333,268,??? Lv8
65,15,29,14,28,216,255,367,302,??? Lv9
65,17,32,15,31,240,255,400,335,??? Lv10
65,19,36,17,35,264,255,436,371,??? Lv11
65,20,41,18,41,330,255,515,450,??? Lv12
65,21,47,20,47,396,255,596,531,??? Lv13
65,22,53,22,53,463,255,678,613,??? Lv14
65,23,58,24,59,529,255,758,693,??? Lv15
65,24,64,25,65,596,255,839,774,??? Lv16
65,26,70,27,71,662,255,921,856,??? Lv17
65,27,75,29,77,728,255,1001,936,??? Lv18
65,28,81,31,83,795,255,1083,1018,??? Lv19
65,29,87,33,89,861,255,1164,1099,??? Lv20
65,30,93,34,95,928,255,1245,1180,??? Lv21
65,32,98,36,101,1017,255,1349,1284,??? Lv22
65,33,104,37,106,1107,255,1452,1387,??? Lv23
65,35,109,39,111,1196,255,1555,1490,??? Lv24
65,36,115,40,117,1286,255,1659,1594,??? Lv25
65,38,120,42,122,1376,255,1763,1698,??? Lv26
65,39,126,43,128,1465,255,1866,1801,??? Lv27
65,40,131,45,133,1555,255,1969,1904,??? Lv28
65,42,137,46,139,1644,255,2073,2008,??? Lv29
65,43,143,48,144,1734,255,2177,2112,??? Lv30
65,45,148,50,150,1824,255,2282,2217,??? Lv31
65,47,153,51,155,1919,255,2390,2325,??? Lv32
65,48,158,53,160,2014,255,2498,2433,??? Lv33
65,50,164,54,165,2109,255,2607,2542,??? Lv34
65,52,169,56,170,2204,255,2716,2651,??? Lv35
65,54,174,57,176,2300,255,2826,2761,??? Lv36
65,56,179,59,181,2395,255,2935,2870,??? Lv37
65,58,184,60,186,2490,255,3043,2978,??? Lv38
65,60,189,62,191,2585,255,3152,3087,??? Lv39
65,61,194,63,196,2680,255,3259,3194,??? Lv40
65,63,200,65,202,2776,255,3371,3306,??? Lv41
65,65,202,68,204,2983,255,3587,3522,??? Lv42
65,67,205,72,207,3190,255,3806,3741,??? Lv43
65,69,208,75,209,3397,255,4023,3958,??? Lv44
65,71,211,79,212,3604,255,4242,4177,??? Lv45
65,73,214,83,215,3812,255,4462,4397,??? Lv46
65,76,217,86,217,4019,255,4680,4615,??? Lv47
65,78,220,90,220,4226,255,4899,4834,??? Lv48
65,80,223,93,222,4433,255,5116,5051,??? Lv49
65,82,226,97,225,4640,255,5335,5270,??? Lv50
65,84,229,101,228,4848,255,5555,5490,??? Lv51
65,86,232,106,231,4976,255,5696,5631,??? Lv52
65,88,235,111,234,5104,255,5837,5772,??? Lv53
65,91,238,117,237,5232,255,5980,5915,??? Lv54
65,93,240,122,240,5360,255,6120,6055,??? Lv55
65,95,243,127,243,5488,255,6261,6196,??? Lv56
65,97,246,133,246,5616,255,6403,6338,??? Lv57
65,100,249,138,249,5744,255,6545,6480,??? Lv58
65,102,252,143,252,5872,255,6686,6621,??? Lv59
65,104,255,149,254,6000,255,6827,6762,??? Lv60
